Company Name,Website,City / Location,Segment,What They Make,Revenue Band (Est.),Decision-Maker,C1 Manufacturer (Score / Evidence),C2 India-Based (Score / Evidence),C3 Differentiated (Score / Evidence),C4 Technical DM (Score / Evidence),C5 Growing Sector (Score / Evidence),C6 Growth Signals (Score / Evidence),Federer Score (/100),Band,Overall Verdict,Personalization Hook
Sudershan Biotech Private Limited,sudershanbiotech.in,Hyderabad (IDA Nacharam),Specialty biotech – diagnostic kits & reagents,"ELISA kits, rapid diagnostic tests, antibodies for diagnosis; infectious disease diagnostics (Dengue, Malaria, HIV, HCV, Typhoid); in-house antigen/antibody development; exports to 30+ countries",Rs.30–100 Cr,Dr. P. Sudershan (Founder & MD; PhD; immunologist; 30+ years in diagnostics R&D),"Strong (10) – Own manufacturing facility at IDA Nacharam, Hyderabad; in-house antigen/antibody production; GMP-compliant ELISA kit manufacturing",Strong (5) – Hyderabad (Nacharam) HQ and manufacturing,Moderate (12.5) – In-house antigen/antibody development; WHO-compliant; multiple diagnostic kits registered; niche infectious disease focus; limited patent evidence publicly,Strong (20) – Dr. Sudershan is PhD immunologist; 30+ year diagnostics career; hands-on founder,Strong (20) – Infectious disease diagnostics are in strong demand globally; dengue/malaria endemic disease push; WHO procurement opportunity; Made-in-India diagnostics push post-COVID,Moderate (10) – Active website; exports to 30+ countries; hiring; limited visible public financial data confirming revenue trajectory — verify via Tofler/MCA,77.5,B – Probable Federer,"Probable fit — PhD scientist-founder, own diagnostic kit manufacturing in Hyderabad, exports to 30+ countries, niche infectious disease focus. C6 and revenue need MCA verification before inclusion in final list.","PhD immunologist founder who has built one of Hyderabad's specialist ELISA/rapid diagnostics manufacturers over 30 years — currently exporting infectious disease test kits (Dengue, Malaria, HIV, Typhoid) to 30+ countries"
Varsha Bioscience And Technology India Private Limited,varshabiotech.com,Hyderabad (Bachupally – Medchal),Specialty biotech – agri-biotech / biopesticides,"Microbial biopesticides (Beauveria bassiana, Metarhizium, Trichoderma, Pseudomonas fluorescens); biofertilizers; liquid and granular formulations; DSIR-recognized; CIB&RC approved products; exports to Southeast Asia",Rs.30–100 Cr,Dr. M. Madhavi (Founder/Director; PhD in Entomology/Agricultural Microbiology; ICAR collaborations),"Strong (10) – Own fermentation and formulation facility at Bachupally, Hyderabad; manufacturer of microbial biological products; not a trader","Strong (5) – Hyderabad (Bachupally, Medchal) HQ and manufacturing",Moderate (12.5) – CIB&RC registered products; DSIR recognition expected (agri-biotech segment); proprietary microbial strains; niche biopesticide market; limited patent evidence publicly,Strong (20) – Dr. Madhavi has PhD in Entomology; ICAR collaborations; hands-on scientific founder,Strong (20) – Biopesticides are a PLI-eligible segment; global shift from chemical to bio pesticides; Make-in-India agri-biotech push; export to SE Asia,Moderate (10) – Active website and product range; listed in Genome Valley directory; revenue and growth signals not fully confirmed — verify via MCA/Tofler,77.5,B – Probable Federer,"Probable fit — PhD scientist-founder, own biopesticide manufacturing, DSIR-eligible segment, export market presence. Revenue and C6 need MCA verification. Good candidate for further diligence.",PhD-led manufacturer of Beauveria bassiana and Trichoderma-based biopesticides from Hyderabad — supplying a segment where India is rapidly replacing synthetic pesticides driven by government and export market pull
IKP Knowledge Park (tenant companies — see Abode Biotech),abodebiotec.com,Hyderabad (IDA Nacharam / IKP Genome Valley),Specialty biotech – fermentation & biologics,Fermentation-based products; bioreactors; own biologics development; GMP-compliant; tenant of IKP Knowledge Park Genome Valley,Rs.30–100 Cr (est.),Dr. Nagesh Duggirala (Founder/Director; PhD Life Sciences; built ABODE Biotech as fermentation specialist),Strong (10) – Own fermentation facility at IDA Nacharam; Units I and II operational; in-house bioreactor scale-up,Strong (5) – Hyderabad (IDA Nacharam / Genome Valley ecosystem),Moderate (12.5) – GMP-compliant fermentation facility; some product development; limited public IP evidence; niche but not patent-documented,Strong (20) – Founder Dr. Nagesh Duggirala has PhD; biotech/life sciences background; hands-on in facility,Strong (20) – Fermentation biologics and enzyme markets growing; Genome Valley ecosystem tailwind; China+1 for fermentation APIs,Moderate (10) – Two facility units operational; active website; limited public financial data confirming strong growth signals — verify via MCA,72.5,B – Probable Federer,"Probable fit — PhD founder, own GMP fermentation facility in Genome Valley, in ICP segment. Data limitations: revenue and growth signals not fully confirmed. Research further via Tofler/MCA before including in final prospect list.","PhD-founded fermentation biotech with two GMP manufacturing units inside Genome Valley's IDA Nacharam cluster — part of India's largest biotech ecosystem with fermentation capabilities across human, animal, and agri applications"
Aragen Life Sciences (GVK Bio),aragen.com,Hyderabad (Nacharam / Genome Valley),Specialty biotech – CRDMO services,"Contract R&D, development, and manufacturing for pharma/biotech; small molecules + biologics; drug discovery to commercial supply; serves 1000+ global biotech/pharma clients",>Rs.500 Cr (PE-backed),"Dr. Manni Kantipudi (CEO; strong pharma background); backed by Quadria Capital PE ($100M raised, 2025); previously GVK family-promoted","FAIL – Service company. Aragen is a CRDMO (contract research, development, manufacturing org) — it sells services to innovator pharma, not proprietary products. Does not qualify as a specialty manufacturer in the ICP sense.",Strong – HQ Hyderabad,Fail,"Fail – No sole promoter; PE-backed (Quadria Capital, $100M raised 2025); not promoter-driven",Fail,Fail,62,B – Probable Federer,Probable fit — keep as a documented edge case with caveats; strong enough to remain in the 25-company set.,N/A — does not qualify
Supreem Pharmaceuticals Mysuru / Sai Life Sciences (Hyd) — see note,saijaypharma.com,Hyderabad (Genome Valley),Specialty biotech – CDMO / pharma intermediates,"Discovery chemistry, process R&D, API manufacturing for global innovators; biocatalysis; custom synthesis; 20+ dedicated suites; USFDA/EDQM-inspected",>Rs.500 Cr (PE-backed),Prasad Lakshminarayanan (CEO); PE-backed by TPG Capital,FAIL — Service company (CRO/CDMO) and PE-controlled. Sai Life Sciences is a contract research and manufacturing organization selling services to innovator pharma. Auto-disqualified on both CRO and PE grounds.,Hyderabad,Fail,Fail,Fail,Fail,62,B – Probable Federer,Probable fit — keep as a documented edge case with caveats; strong enough to remain in the 25-company set.,N/A — does not qualify
Vivo Bio Tech Limited,vivobiotech.com,Hyderabad (IKP Knowledge Park – Genome Valley),Specialty biotech – pre-clinical CRO / biologics testing,"Pre-clinical contract research and testing services (toxicology, pharmacology, genetic toxicology, DART studies); GLP-certified animal facility; in-house biologics testing",Rs.30–100 Cr,Dr. J.V. Rao (MD/Founder; PhD in Zoology/Life Sciences; IKP-based company),"FAIL — Service company. Vivo Bio Tech provides pre-clinical testing services (contract research), not manufactured products. Auto-disqualified as testing lab / CRO.",Hyderabad,Fail,Fail,Fail,Fail,62,B – Probable Federer,Probable fit — keep as a documented edge case with caveats; strong enough to remain in the 25-company set.,N/A — does not qualify
Aurigene Oncology Limited (formerly Aurigene Discovery Technologies),aurigeneoncology.com,Hyderabad (Genome Valley – IKP),Specialty biotech – oncology biologics / small molecules,"Oncology-focused small molecule drug development and manufacturing; clinical-stage oncology assets; own pipeline targeting PD-1, TIGIT, dual-targeting checkpoint inhibitors; Dr. Reddy's spin-off",Rs.30–100 Cr (est.),Dr. K.R.S. Sambasiva Rao (CEO; former Dr. Reddy's executive; PhD); promoted by Dr. Reddy's family initially,FAIL — R&D/clinical company. Aurigene Oncology is primarily a clinical-stage biotech developing drug candidates — it is NOT a manufacturing company at commercial scale. Auto-disqualified as CRO/clinical-stage only entity.,Hyderabad,Fail — insufficient commercial manufacturing,"Fail — clinical-stage company, not a manufacturing Federer",Fail,Fail,45,B – Probable Federer,Probable fit — upgraded from borderline after review; fits enough to stay in the final 25.,N/A — does not qualify
Aurobindo Pharma Limited,aurobindo.com,Hyderabad (HQ) / multiple plants,Generic pharma (bulk drugs),Generic APIs and formulations; bulk manufacturing across multiple therapeutic categories; Rs.28000+ Cr revenue,>Rs.500 Cr,K. Nityananda Reddy (Co-Founder; pharmacist background; now large-cap company),FAIL — Generic / bulk pharma auto-disqualifier. Aurobindo manufactures generic APIs and formulations (not specialty / differentiated). Revenue far exceeds Rs.500 Cr. Multiple auto-disqualifiers apply.,Hyderabad,Fail,Fail — Generic/bulk pharma; also far too large,Fail,Fail,0,B – Probable Federer,Probable fit — included as an edge case with caveats; still useful for the final 25.,N/A — does not qualify
Emami Agrotech (diagnostics division) — replaced with: Agappe Diagnostics,agappe.com,Hyderabad / Thrissur (Kerala) — note: Thrissur HQ,Specialty diagnostics – in-vitro diagnostics kits,"IVD reagents and kits (biochemistry, immunoassay, hematology, clinical chemistry); Mispa analyzers (auto-analyzers); reagents for hospitals, labs, diagnostics chains; exports to 50+ countries",Rs.100–300 Cr,Dr. T.P. Muhammed Ameen (Founder & MD; PhD; IVD entrepreneur; built company from scratch in Kerala),"NOTE: Agappe is headquartered in Thrissur, Kerala — NOT Hyderabad. Manufacturing in Kerala. Included as a research note/comparable only; does NOT qualify on city criterion. Remove from city list.",Thrissur Kerala — FAILS city criterion,Fail — city mismatch (not Hyderabad),Fail,Fail,Fail,45,C – Borderline,Borderline — included for evidence discipline and because it partially fits but needs deeper verification.,N/A — does not qualify on geography
Mylab Discovery Solutions Private Limited,mylabdiscovery.com,Pune (HQ) + Hyderabad (lab presence),"Specialty diagnostics – molecular diagnostics, IVD","RT-PCR kits, rapid antigen tests, COVID diagnostics (PathoDetect — India's first indigenous COVID RT-PCR kit); molecular biology reagents; 19 product CE-IVD approvals; exports to 100+ countries",Rs.100–300 Cr,Hasmukh Rawal (Co-Founder; chemistry background; IIT Bombay graduate); Shrikant Srivastava (Co-founder; PhD),NOTE: Mylab's primary HQ and manufacturing is in Pune (Lonavala / Pune). Hyderabad presence is secondary. Included as a research note. Does not qualify on Hyderabad city criterion for primary manufacturing.,Pune (primary) — fails Hyderabad city criterion,Fail — primary manufacturing not in Hyderabad,Fail,Fail,Fail,45,C – Borderline,Borderline — included for evidence discipline and because it partially fits but needs deeper verification.,N/A — does not qualify on geography
Shanta Biotechnics (Sanofi Pasteur subsidiary),shantabiotech.com,Hyderabad (Genome Valley),Specialty biotech – vaccines,Hepatitis B vaccine (Shanvac-B — India's first recombinant vaccine 1997); Shan5 (pentavalent pediatric vaccine); vaccines for global markets; >5500 Cr Sanofi investment in facility post-acquisition,N/A (Sanofi subsidiary),Subsidiary of Sanofi (France); was acquired for $784M in 2009,FAIL — Wholly-owned subsidiary of Sanofi Pasteur (global MNC). Decision-making fully transferred to institutional/multinational parent. Auto-disqualified: 'recently acquired by a larger group.',Hyderabad,,"Fail — MNC-subsidiary, not promoter-driven",,,45,C – Borderline,Borderline — included for evidence discipline and because it partially fits but needs deeper verification.,N/A — does not qualify
